Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
MANINFRA,MAN INFRACONSTRUCTION LIMITED,26297500.0,250000.0,1,25-06-2026,250000.0,1,26297500.0,105.19,0.0,0,2.63,26297500.0,0.0,26297500.0,0.0,False,False,False,124.8,67.15,107.25,112.12,22.0,18.6,18.6,5037.0,32.8,-25.0,71.0,-11.0,1.48,10.7,0.0,True,69.0,0.052,17,14,20,0,51,Buy on Breakout
NIITMTS,NIIT Learning Systems Limited,25294862.0,112588.0,4,09-06-2026,112588.0,4,25294862.0,224.67,0.0,0,2.53,25294862.0,0.0,25294862.0,0.0,False,False,False,225.94,34.84,236.96,305.99,-31.9,0.6,0.6,3120.0,26.0,6.0,22.0,-8.0,2.06,18.3,0.03,True,16.0,0.081,15,18,5,0,38,Fundamental Watch
OBCL,OBCL LIMITED,20337052.0,380045.0,9,02-09-2026,380045.0,9,20337052.0,53.51,0.0,0,2.03,20337052.0,0.0,20337052.0,0.0,False,False,False,55.19,67.23,54.06,55.1,-1.7,3.1,3.1,114.0,,6.0,2.47,-3779.0,-0.05,-1.26,0.8,True,3.0,1.781,25,6,15,-2,44,Watchlist
NINSYS,Nintec Systems Limited,20039124.0,26000.0,17,30-06-2026,26000.0,17,20039124.0,770.74,0.0,0,2.0,20039124.0,0.0,20039124.0,0.0,False,False,False,712.75,47.23,794.42,536.21,127.8,-7.5,7.5,1314.0,44.7,17.0,10.62,17.0,4.44,50.3,0.02,True,41.45,0.152,15,25,15,0,55,Buy on Breakout
GANDHAR,Gandhar Oil Refinery (India) Limited,19941912.0,125738.0,3,16-06-2026,125738.0,3,19941912.0,158.6,0.0,0,1.99,19941912.0,0.0,19941912.0,0.0,False,False,False,267.6,64.63,231.64,166.94,94.7,68.7,68.7,2618.0,9.0,36.0,249.0,301.0,18.27,15.5,0.07,True,16.0,0.076,15,35,30,0,80,Strong Buy Setup
NURECA,NURECA LIMITED,17377888.0,55287.0,11,28-08-2026,55287.0,11,17377888.0,314.32,0.0,0,1.74,17377888.0,0.0,17377888.0,0.0,False,False,False,322.7,63.24,299.35,277.92,14.3,2.7,2.7,307.0,141.0,22.0,2.45,264.0,2.55,2.07,0.01,False,6.06,0.567,20,15,25,-3,57,Buy on Breakout
CSLFINANCE,CSL Finance Limited,17100047.0,198424.0,17,28-08-2026,90030.0,9,17100047.0,189.94,108394.0,8,1.71,17100047.0,0.0,17100047.0,0.0,False,False,False,251.77,47.71,222.91,250.07,-1.2,32.6,32.6,576.0,6.61,19.0,,16.0,9.72,14.5,1.38,False,,0.297,20,12,20,0,52,Buy on Breakout
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,16566269.0,390107.0,26,02-09-2026,390107.0,26,16566269.0,42.47,0.0,0,1.66,16566269.0,0.0,16566269.0,0.0,False,False,False,42.96,71.79,40.7,39.7,17.4,1.2,1.2,426.0,105.0,246.0,0.91,10.0,0.14,2.16,0.0,False,4.21,0.39,25,8,25,-5,53,Buy on Breakout
PKTEA,THE PERIA KARAMALAI TEA & PRODUCE COMPANY LIMITED,16116903.0,22454.0,3,20-08-2026,22454.0,3,16116903.0,717.77,0.0,0,1.61,16116903.0,0.0,16116903.0,0.0,False,False,False,802.65,61.71,730.0,761.84,3.5,11.8,11.8,248.0,,9.0,11.91,-184.0,31.98,0.27,0.1,True,57.93,0.649,20,14,25,0,59,Buy on Breakout
LAOPALA,LA OPALA RG LIMITED,15756925.0,90000.0,2,08-06-2026,90000.0,2,15756925.0,175.08,0.0,0,1.58,15756925.0,0.0,15756925.0,0.0,False,False,False,173.9,65.64,183.01,189.56,-12.2,-0.7,0.7,1928.0,20.4,-3.0,26.0,-4.0,2.36,14.2,0.01,True,36.0,0.082,17,14,0,0,31,Fundamental Watch
