Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,FirstBuyDate,LastBuyDate,FirstBuyPrice,LastBuyPrice,WeightedAvgBuyPrice,AccumulationDays,DaysSinceFirstBuy,DaysSinceLastBuy,BuyTxn7D,BuyTxn15D,BuyTxn30D,BuyTxn60D,BuyTxn90D,BuyValue7D,BuyValue15D,BuyValue30D,BuyValue60D,BuyValue90D,NetBuyValue7D,NetBuyValue30D,UniquePromotersBuying,UniquePromotersSelling,BuyAcceleration,Freshness,AccumulationStage,PromoterAvgPrice,CMPvsPromoterAvgPct,SignalStage,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
NCLIND,NCL INDUSTRIES LIMITED,49444055.0,280918.0,33,04-09-2026,280918.0,33,49444055.0,176.01,0.0,0,4.94,49444055.0,0.0,49444055.0,0.0,False,False,False,177.81,44.48,180.81,184.96,-3.4,1.0,1.0,05-06-2026,04-09-2026,178.50191570881225,176.65993945509587,176.00885311727978,91,94,3,3,8,22,22,31,1866990.0,5602308.0,40548211.0,40548211.0,48118882.0,1866990.0,40548211.0,5,0,0.046,Fresh,Confirmed Accumulation,176.00885311727978,1.0,Confirmed Accumulation,796.0,6.41,4.0,40.0,191.0,3.81,14.6,0.25,True,12.0,0.621,20,21,5,0,46,Watchlist
AURUM,Aurum PropTech Limited,40379843.0,205000.0,10,29-06-2026,205000.0,10,40379843.0,196.97,0.0,0,4.04,40379843.0,0.0,40379843.0,0.0,False,False,False,225.16,50.34,227.54,190.62,32.8,14.3,14.3,05-06-2026,29-06-2026,191.52652,218.2369,196.97484390243903,24,94,70,0,0,0,0,7,0.0,0.0,0.0,0.0,28123584.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,196.97484390243903,14.3,Late — Poor Entry,1615.0,250.0,-48.0,-3.0,2250.0,6.59,1.28,0.01,False,-5760.0,0.25,20,10,25,-5,50,Buy on Breakout
PREMIERPOL,PREMIER POLYFILM LIMITED,39432691.0,698178.0,4,17-06-2026,698178.0,4,39432691.0,56.48,0.0,0,3.94,39432691.0,5525660.0,33907031.0,14.01,True,False,False,95.36,67.46,76.56,57.98,82.0,68.8,68.8,09-06-2026,17-06-2026,55.50999909646718,58.0,56.4794235853894,8,90,82,0,0,0,0,3,0.0,0.0,0.0,0.0,28374100.0,0.0,0.0,1,1,0.0,Stale,Stale Accumulation,56.4794235853894,68.8,Late — Poor Entry,964.0,27.6,19.0,13.52,34.0,0.87,30.8,0.0,True,15.38,0.409,23,25,30,0,78,Strong Buy Setup
LIBERTSHOE,LIBERTY SHOES LIMITED,34642450.0,135000.0,7,19-08-2026,135000.0,7,34642450.0,256.61,0.0,0,3.46,34642450.0,2774200.0,31868250.0,8.01,True,False,False,233.27,58.5,256.33,257.81,0.8,-9.1,9.1,30-06-2026,19-08-2026,268.783925,244.0,256.61074074074077,50,69,19,0,0,5,5,7,0.0,0.0,17097005.0,17097005.0,34642450.0,0.0,17097005.0,2,1,0.0,Active,Confirmed Accumulation,256.61074074074077,-9.1,Confirmed Accumulation,397.0,46.5,6.0,13.51,-39.0,0.4,7.91,0.71,True,7.95,0.872,18,6,5,0,29,Avoid
PARADEEP,PARADEEP PHOSPHATES LIMITED,34603343.0,245273.0,3,19-08-2026,245273.0,3,34603343.0,141.08,0.0,0,3.46,34603343.0,0.0,34603343.0,0.0,False,False,False,157.0,56.08,146.72,136.74,37.1,11.3,11.3,18-06-2026,19-08-2026,132.94000473384574,150.6,138.6435554326507,62,81,19,0,0,1,1,5,0.0,0.0,15060000.0,15060000.0,54146686.0,0.0,15060000.0,1,0,0.0,Active,Confirmed Accumulation,138.6435554326507,13.2,Mature — Wait for Pullback,16377.0,15.1,28.0,720.0,14.0,3.78,15.4,1.02,False,12.0,0.021,15,14,30,0,59,Buy on Breakout
GANESHCP,GANESH CONSUMER PRODUCTS LIMITED,33968886.0,179300.0,5,02-09-2026,179300.0,5,33968886.0,189.45,0.0,0,3.4,33968886.0,0.0,33968886.0,0.0,False,False,False,174.46,64.08,174.67,197.84,-6.1,-7.9,7.9,19-06-2026,02-09-2026,199.3987,167.22016666666667,189.45279419966536,75,80,5,1,2,2,2,5,3009963.0,8001009.0,8001009.0,8001009.0,33968886.0,3009963.0,8001009.0,2,0,0.3762,Fresh,Confirmed Accumulation,189.45279419966536,-7.9,Confirmed Accumulation,683.0,15.1,-1.0,21.0,45.0,3.1,19.4,0.07,True,11.0,0.498,20,25,0,0,45,Watchlist
KCP,KCP LIMITED,30763394.0,191174.0,7,30-06-2026,191174.0,7,30763394.0,160.92,0.0,0,3.08,30763394.0,5240000.0,25523394.0,17.03,True,False,False,162.38,43.93,164.18,166.87,1.3,0.9,0.9,05-06-2026,30-06-2026,160.84061985327145,140.46881505537513,160.91322140300784,25,94,69,0,0,0,0,6,0.0,0.0,0.0,0.0,28614885.0,0.0,0.0,2,1,0.0,Stale,Stale Accumulation,160.91322140300784,0.9,Late — Poor Entry,2108.0,17.9,10.0,18.51,186.0,0.04,14.3,0.49,True,4.76,0.146,13,21,10,-2,42,Watchlist
RGL,Renaissance Global Limited,30063761.0,297965.0,2,11-06-2026,297965.0,2,30063761.0,100.9,0.0,0,3.01,30063761.0,0.0,30063761.0,0.0,False,False,False,149.26,69.56,123.6,115.48,31.8,47.9,47.9,10-06-2026,11-06-2026,95.70170033911258,101.7464416945539,100.89695434027486,1,89,88,0,0,0,0,2,0.0,0.0,0.0,0.0,30063761.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,100.89695434027486,47.9,Late — Poor Entry,1645.0,57.3,7.0,22.0,0.0,0.95,5.28,0.52,True,5.0,0.183,17,11,30,0,58,Buy on Breakout
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,29730147.0,100000.0,1,12-06-2026,100000.0,1,29730147.0,297.3,0.0,0,2.97,29730147.0,0.0,29730147.0,0.0,False,False,False,321.45,67.69,335.35,346.95,-0.8,8.1,8.1,12-06-2026,12-06-2026,297.30147,297.30147,297.30147,0,87,87,0,0,0,0,1,0.0,0.0,0.0,0.0,29730147.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,297.30147,8.1,Late — Poor Entry,1099.0,19.5,12.0,29.0,20.0,4.07,11.5,0.47,True,17.0,0.27,22,21,5,0,48,Watchlist
ASHAPURMIN,ASHAPURA MINECHEM LIMITED,29200553.0,50000.0,2,27-08-2026,50000.0,2,29200553.0,584.01,0.0,0,2.92,29200553.0,0.0,29200553.0,0.0,False,False,False,551.0,45.33,647.12,658.6,5.5,-5.7,5.7,26-08-2026,27-08-2026,584.31052,583.7116,584.01106,1,12,11,0,2,2,2,2,0.0,29200553.0,29200553.0,29200553.0,29200553.0,0.0,29200553.0,1,0,0.0,Active,Confirmed Accumulation,584.01106,-5.7,Confirmed Accumulation,5181.0,34.3,9.0,33.0,67.0,2.59,36.6,0.12,True,30.0,0.056,12,25,5,0,42,Watchlist
