Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,52WeekHigh,52WeekLow,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,FirstBuyDate,LastBuyDate,FirstBuyPrice,LastBuyPrice,WeightedAvgBuyPrice,AccumulationDays,DaysSinceFirstBuy,DaysSinceLastBuy,BuyTxn7D,BuyTxn15D,BuyTxn30D,BuyTxn60D,BuyTxn90D,BuyValue7D,BuyValue15D,BuyValue30D,BuyValue60D,BuyValue90D,NetBuyValue7D,NetBuyValue30D,UniquePromotersBuying,UniquePromotersSelling,BuyAcceleration,Freshness,AccumulationStage,PromoterAvgPrice,CMPvsPromoterAvgPct,SignalStage,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
BERGEPAINT,BERGER PAINTS (I) LIMITED,48436318.0,98938.0,5,07-09-2026,98938.0,5,48436318.0,489.56,0.0,0,4.84,48436318.0,0.0,48436318.0,0.0,False,False,False,463.8,594.55,391.1,75.0,510.32,498.03,6.8,-5.3,5.3,07-09-2026,07-09-2026,485.14018597129575,486.4111749009461,489.56233196547333,0,3,3,5,5,5,5,5,48436318.0,48436318.0,48436318.0,48436318.0,48436318.0,48436318.0,48436318.0,5,0,1.0,Fresh,Early Accumulation,489.56233196547333,-5.3,Early Accumulation,53935.0,45.7,5.0,562.0,8.0,3.16,22.9,0.07,True,17.0,0.009,20,18,10,0,48,Watchlist
NCLIND,NCL INDUSTRIES LIMITED,48300137.0,274620.0,32,07-09-2026,274620.0,32,48300137.0,175.88,0.0,0,4.83,48300137.0,0.0,48300137.0,0.0,False,False,False,178.11,215.22,147.5,44.48,179.66,184.36,-1.9,1.3,1.3,10-06-2026,07-09-2026,183.9499281756618,176.48977604673806,175.87989585609205,89,92,3,2,6,20,23,29,706465.0,3217727.0,24898859.0,40729466.0,45962279.0,706465.0,24898859.0,5,0,0.0284,Fresh,Confirmed Accumulation,175.87989585609205,1.3,Confirmed Accumulation,811.0,6.54,4.0,40.0,191.0,3.81,14.6,0.25,True,12.0,0.596,20,21,5,0,46,Watchlist
AEROENTER,AEROFLEX ENTERPRISES LIMITED,48016500.0,440000.0,3,17-06-2026,440000.0,3,48016500.0,109.13,0.0,0,4.8,48016500.0,0.0,48016500.0,0.0,False,False,False,135.01,159.6,62.2,51.59,130.03,99.33,92.0,23.7,23.7,11-06-2026,17-06-2026,105.75,113.3,109.12840909090909,6,91,85,0,0,0,0,2,0.0,0.0,0.0,0.0,32154000.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,109.12840909090909,23.7,Late — Poor Entry,1530.0,15.2,152.0,-23.0,955.0,8.07,3.05,0.0,False,-831.0,0.314,20,15,30,-2,63,Buy on Breakout
PREMIERPOL,PREMIER POLYFILM LIMITED,39432691.0,698178.0,4,17-06-2026,698178.0,4,39432691.0,56.48,0.0,0,3.94,39432691.0,5525660.0,33907031.0,14.01,True,False,False,87.99,98.8,38.0,67.46,78.35,59.0,58.6,55.8,55.8,09-06-2026,17-06-2026,55.50999909646718,58.0,56.4794235853894,8,93,85,0,0,0,0,2,0.0,0.0,0.0,0.0,17051460.0,0.0,0.0,1,1,0.0,Stale,Stale Accumulation,56.4794235853894,55.8,Late — Poor Entry,917.0,26.2,19.0,13.52,34.0,0.87,28.9,0.13,True,15.38,0.43,23,25,30,0,78,Strong Buy Setup
LIBERTSHOE,LIBERTY SHOES LIMITED,34642450.0,135000.0,7,19-08-2026,135000.0,7,34642450.0,256.61,0.0,0,3.46,34642450.0,2774200.0,31868250.0,8.01,True,False,False,229.41,404.95,210.5,58.5,253.29,256.33,3.2,-10.6,10.6,30-06-2026,19-08-2026,268.783925,244.0,256.61074074074077,50,72,22,0,0,5,5,7,0.0,0.0,17097005.0,17097005.0,34642450.0,0.0,17097005.0,2,1,0.0,Active,Confirmed Accumulation,256.61074074074077,-10.6,Confirmed Accumulation,390.0,45.8,6.0,13.51,-39.0,0.4,7.91,0.71,True,7.95,0.887,18,6,5,0,29,Avoid
PARADEEP,PARADEEP PHOSPHATES LIMITED,34603343.0,245273.0,3,19-08-2026,245273.0,3,34603343.0,141.08,0.0,0,3.46,34603343.0,0.0,34603343.0,0.0,False,False,False,157.11,201.99,99.7,56.08,148.39,136.66,52.3,11.4,11.4,18-06-2026,19-08-2026,132.94000473384574,150.6,138.6435554326507,62,84,22,0,0,1,1,5,0.0,0.0,15060000.0,15060000.0,54146686.0,0.0,15060000.0,1,0,0.0,Active,Confirmed Accumulation,138.6435554326507,13.3,Mature — Wait for Pullback,16303.0,15.0,28.0,720.0,14.0,3.78,15.4,1.02,False,12.0,0.021,15,14,30,0,59,Buy on Breakout
GANESHCP,GANESH CONSUMER PRODUCTS LIMITED,33968886.0,179300.0,5,02-09-2026,179300.0,5,33968886.0,189.45,0.0,0,3.4,33968886.0,0.0,33968886.0,0.0,False,False,False,166.98,309.95,152.0,64.08,172.52,195.6,2.5,-11.9,11.9,19-06-2026,02-09-2026,199.3987,167.22016666666667,189.45279419966536,75,83,8,0,1,2,2,5,0.0,3009963.0,8001009.0,8001009.0,33968886.0,0.0,8001009.0,2,0,0.0,Active,Confirmed Accumulation,189.45279419966536,-11.9,Confirmed Accumulation,674.0,14.9,-1.0,21.0,45.0,3.1,19.3,0.07,True,11.0,0.504,20,25,5,0,50,Buy on Breakout
GANDHAR,GANDHAR OIL REFINERY (INDIA) LIMITED,33219918.0,175738.0,5,08-09-2026,175738.0,5,33219918.0,189.03,0.0,0,3.32,33219918.0,0.0,33219918.0,0.0,False,False,False,271.3,303.17,115.0,64.63,238.29,169.43,112.9,43.5,43.5,08-06-2026,08-09-2026,157.53204,264.4808064516129,189.03093241074782,92,94,2,2,2,2,2,3,13278006.0,13278006.0,13278006.0,13278006.0,21254611.0,13278006.0,13278006.0,1,0,1.0,Fresh,Confirmed Accumulation,189.03093241074782,43.5,Late — Poor Entry,2656.0,9.13,36.0,249.0,301.0,18.27,15.5,0.07,True,16.0,0.125,15,35,30,0,80,Strong Buy Setup
INDORAMA,INDO RAMA SYNTHETICS (INDIA) LIMITED,31393588.0,414796.0,2,09-09-2026,414796.0,2,31393588.0,75.68,0.0,0,3.14,31393588.0,0.0,31393588.0,0.0,False,False,False,82.93,88.2,29.0,74.85,58.1,45.51,144.6,9.6,9.6,08-09-2026,09-09-2026,74.1302357497801,77.39172514279643,75.6844038997483,1,2,1,2,2,2,2,2,31393588.0,31393588.0,31393588.0,31393588.0,31393588.0,31393588.0,31393588.0,1,0,1.0,Fresh,Early Accumulation,75.6844038997483,9.6,Early Accumulation,2160.0,18.9,-3.0,62.0,77.0,1.29,15.8,1.69,True,8.0,0.145,17,22,30,0,69,Strong Buy Setup
AURUM,Aurum PropTech Limited,30928091.0,155000.0,8,29-06-2026,155000.0,8,30928091.0,199.54,0.0,0,3.09,30928091.0,0.0,30928091.0,0.0,False,False,False,220.38,264.64,151.9,50.34,227.29,191.78,34.4,10.4,10.4,09-06-2026,29-06-2026,186.96713333333332,218.2369,199.53607096774195,20,93,73,0,0,0,0,6,0.0,0.0,0.0,0.0,24448619.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,199.53607096774195,10.4,Late — Poor Entry,1590.0,246.0,-48.0,-3.0,2250.0,6.59,1.28,0.01,False,-5760.0,0.194,15,10,25,-5,45,Watchlist
