Symbol,BuyTxn7D,BuyValue7D,SellTxn7D,SellValue7D,NetBuyValue7D,BuyTxn15D,BuyValue15D,SellTxn15D,SellValue15D,NetBuyValue15D,BuyTxn30D,BuyValue30D,SellTxn30D,SellValue30D,NetBuyValue30D,BuyTxn60D,BuyValue60D,SellTxn60D,SellValue60D,NetBuyValue60D,BuyTxn90D,BuyValue90D,SellTxn90D,SellValue90D,NetBuyValue90D,FirstBuyDate,FirstBuyDisclosureDate,FirstBuyPrice,FirstBuyValue,LastBuyDate,LastBuyDisclosureDate,LastBuyPrice,LastBuyValue,AccumulationDays,DaysSinceFirstBuy,DaysSinceLastBuy,UniquePromotersBuying,UniquePromotersSelling,WeightedAvgBuyPrice,BuyAcceleration,Freshness,AccumulationStage
JKIPL,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
JMA,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
JSWENERGY,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
KABRAEXTRU,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,6,136446027.0,3,140112272.0,-3666245.0,19-06-2026,19-06-2026,238.996728,29874591.0,25-06-2026,26-06-2026,243.6942904821503,16355786.0,6,78,72,2,1,240.46912142061555,0.0,Stale,Stale Accumulation
KANPRPLA,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
KARURVYSYA,0,0.0,0,0.0,0.0,0,0.0,6,10703274.0,-10703274.0,0,0.0,7,11713419.0,-11713419.0,0,0.0,13,15863664.0,-15863664.0,0,0.0,13,15863664.0,-15863664.0,,,,0.0,,,,0.0,0,,,0,4,,0.0,No Signal,No Signal
KCP,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,6,28614885.0,2,5240000.0,23374885.0,05-06-2026,08-06-2026,160.84061985327145,2148509.0,30-06-2026,07-08-2026,140.46881505537513,1686890.0,25,92,67,2,1,160.91322140300784,0.0,Stale,Stale Accumulation
KDDL,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,1,898100017.0,-898100017.0,0,0.0,1,898100017.0,-898100017.0,0,0.0,1,898100017.0,-898100017.0,,,,0.0,,,,0.0,0,,,0,1,,0.0,No Signal,No Signal
KMEW,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,2,1006333080.0,-1006333080.0,,,,0.0,,,,0.0,0,,,0,2,,0.0,No Signal,No Signal
KMSUGAR,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
KOTYARK,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,5,37759406.0,-37759406.0,,,,0.0,,,,0.0,0,,,0,1,,0.0,No Signal,No Signal
KRISHIVAL,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
KRN,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
LALPATHLAB,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,1,609742252.0,-609742252.0,0,0.0,1,609742252.0,-609742252.0,,,,0.0,,,,0.0,0,,,0,1,,0.0,No Signal,No Signal
LANDMARK,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,2106684.0,0,0.0,2106684.0,10-06-2026,10-06-2026,421.3368,2106684.0,10-06-2026,10-06-2026,421.3368,2106684.0,0,87,87,1,0,421.3368,0.0,Stale,Stale Accumulation
LAOPALA,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,7874393.0,0,0.0,7874393.0,04-06-2026,05-06-2026,175.16737777777777,7882532.0,08-06-2026,09-06-2026,174.9865111111111,7874393.0,4,93,89,1,0,175.07694444444445,0.0,Stale,Stale Accumulation
LEAPIND,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
LIBAS,3,703474.0,0,0.0,703474.0,5,1734065.0,0,0.0,1734065.0,6,2096820.0,0,0.0,2096820.0,6,2096820.0,0,0.0,2096820.0,6,2096820.0,0,0.0,2096820.0,21-08-2026,24-08-2026,10.019749198983538,362755.0,02-09-2026,04-09-2026,10.41,20820.0,12,15,3,2,0,10.723118307064468,0.3355,Fresh,Early Accumulation
LIBERTSHOE,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,5,17097005.0,0,0.0,17097005.0,5,17097005.0,0,0.0,17097005.0,7,34642450.0,2,5548400.0,29094050.0,30-06-2026,30-06-2026,268.783925,10751357.0,19-08-2026,20-08-2026,244.0,1109712.0,50,67,17,2,1,256.61074074074077,0.0,Active,Confirmed Accumulation
LICI,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,1,315523400000.0,-315523400000.0,0,0.0,1,315523400000.0,-315523400000.0,,,,0.0,,,,0.0,0,,,0,1,,0.0,No Signal,No Signal
LINC,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,04-06-2026,05-06-2026,99.76915384615384,6484995.0,04-06-2026,05-06-2026,99.76915384615384,6484995.0,0,93,93,1,1,99.76915384615384,0.0,Stale,Stale Accumulation
