Symbol,PromoterEntity,WindowDays,BuyTransactions,BuyValue,SellTransactions,SellValue,NetBuyValue,FirstTransactionDate,LastTransactionDate
CHEMBOND,Raunaq Sameer Shah,15,0,0.0,0,0.0,0.0,03-09-2026,03-09-2026
CHEMBOND,Raunaq Sameer Shah,30,2,923894.0,0,0.0,923894.0,03-09-2026,03-09-2026
CHEMBOND,Raunaq Sameer Shah,60,2,923894.0,0,0.0,923894.0,03-09-2026,03-09-2026
CHEMBOND,Raunaq Sameer Shah,90,2,923894.0,0,0.0,923894.0,03-09-2026,03-09-2026
CHEMBOND,S an N Ventures Private Limited,7,0,0.0,0,0.0,0.0,03-09-2026,03-09-2026
CHEMBOND,S an N Ventures Private Limited,15,0,0.0,0,0.0,0.0,03-09-2026,03-09-2026
CHEMBOND,S an N Ventures Private Limited,30,2,4196480.0,0,0.0,4196480.0,03-09-2026,03-09-2026
CHEMBOND,S an N Ventures Private Limited,60,2,4196480.0,0,0.0,4196480.0,03-09-2026,03-09-2026
CHEMBOND,S an N Ventures Private Limited,90,2,4196480.0,0,0.0,4196480.0,03-09-2026,03-09-2026
CHEMBONDCH,MAMTA N SHAH,7,0,0.0,0,0.0,0.0,06-08-2026,06-08-2026
CHEMBONDCH,MAMTA N SHAH,15,0,0.0,0,0.0,0.0,06-08-2026,06-08-2026
CHEMBONDCH,MAMTA N SHAH,30,0,0.0,0,0.0,0.0,06-08-2026,06-08-2026
CHEMBONDCH,MAMTA N SHAH,60,2,9430000.0,0,0.0,9430000.0,06-08-2026,06-08-2026
CHEMBONDCH,MAMTA N SHAH,90,2,9430000.0,0,0.0,9430000.0,06-08-2026,06-08-2026
CHEMBONDCH,NIRMAL V SHAH,7,0,0.0,0,0.0,0.0,06-08-2026,25-08-2026
CHEMBONDCH,NIRMAL V SHAH,15,0,0.0,0,0.0,0.0,06-08-2026,25-08-2026
CHEMBONDCH,NIRMAL V SHAH,30,1,4065000.0,0,0.0,4065000.0,06-08-2026,25-08-2026
CHEMBONDCH,NIRMAL V SHAH,60,3,8665000.0,0,0.0,8665000.0,06-08-2026,25-08-2026
CHEMBONDCH,NIRMAL V SHAH,90,3,8665000.0,0,0.0,8665000.0,06-08-2026,25-08-2026
CONFIPET,CONFIDENCE LPG BOTTLING PRIVATE LIMITED,7,0,0.0,0,0.0,0.0,19-06-2026,09-09-2026
CONFIPET,CONFIDENCE LPG BOTTLING PRIVATE LIMITED,15,1,235214695.0,0,0.0,235214695.0,19-06-2026,09-09-2026
CONFIPET,CONFIDENCE LPG BOTTLING PRIVATE LIMITED,30,2,265494685.0,0,0.0,265494685.0,19-06-2026,09-09-2026
CONFIPET,CONFIDENCE LPG BOTTLING PRIVATE LIMITED,60,4,670963275.0,0,0.0,670963275.0,19-06-2026,09-09-2026
CONFIPET,CONFIDENCE LPG BOTTLING PRIVATE LIMITED,90,6,873188025.0,0,0.0,873188025.0,19-06-2026,09-09-2026
CONFIPET,Essenn LPG Bottling Private Limited,7,0,0.0,0,0.0,0.0,29-06-2026,26-08-2026
CONFIPET,Essenn LPG Bottling Private Limited,15,0,0.0,0,0.0,0.0,29-06-2026,26-08-2026
CONFIPET,Essenn LPG Bottling Private Limited,30,1,60232040.0,0,0.0,60232040.0,29-06-2026,26-08-2026
CONFIPET,Essenn LPG Bottling Private Limited,60,1,60232040.0,0,0.0,60232040.0,29-06-2026,26-08-2026
CONFIPET,Essenn LPG Bottling Private Limited,90,3,210103080.0,0,0.0,210103080.0,29-06-2026,26-08-2026
DIAMONDYD,Authum Investment & Infrastructure Limited,7,0,0.0,0,0.0,0.0,25-06-2026,07-08-2026
DIAMONDYD,Authum Investment & Infrastructure Limited,15,0,0.0,0,0.0,0.0,25-06-2026,07-08-2026
DIAMONDYD,Authum Investment & Infrastructure Limited,30,0,0.0,0,0.0,0.0,25-06-2026,07-08-2026
DIAMONDYD,Authum Investment & Infrastructure Limited,60,3,586966134.0,0,0.0,586966134.0,25-06-2026,07-08-2026
DIAMONDYD,Authum Investment & Infrastructure Limited,90,4,595794044.0,0,0.0,595794044.0,25-06-2026,07-08-2026
DOLLAR,VK Mercantile Private Limited,7,0,0.0,0,0.0,0.0,24-06-2026,24-06-2026
DOLLAR,VK Mercantile Private Limited,15,0,0.0,0,0.0,0.0,24-06-2026,24-06-2026
DOLLAR,VK Mercantile Private Limited,30,0,0.0,0,0.0,0.0,24-06-2026,24-06-2026
DOLLAR,VK Mercantile Private Limited,60,0,0.0,0,0.0,0.0,24-06-2026,24-06-2026
DOLLAR,VK Mercantile Private Limited,90,0,0.0,0,0.0,0.0,24-06-2026,24-06-2026
EIEL,MANISH JAIN,7,0,0.0,0,0.0,0.0,01-09-2026,02-09-2026
EIEL,MANISH JAIN,15,0,0.0,0,0.0,0.0,01-09-2026,02-09-2026
EIEL,MANISH JAIN,30,2,11966478.0,0,0.0,11966478.0,01-09-2026,02-09-2026
EIEL,MANISH JAIN,60,2,11966478.0,0,0.0,11966478.0,01-09-2026,02-09-2026
EIEL,MANISH JAIN,90,2,11966478.0,0,0.0,11966478.0,01-09-2026,02-09-2026
EIEL,Manish Jain,7,0,0.0,0,0.0,0.0,31-08-2026,31-08-2026
EIEL,Manish Jain,15,0,0.0,0,0.0,0.0,31-08-2026,31-08-2026
EIEL,Manish Jain,30,1,1464316.0,0,0.0,1464316.0,31-08-2026,31-08-2026
EIEL,Manish Jain,60,1,1464316.0,0,0.0,1464316.0,31-08-2026,31-08-2026
EIEL,Manish Jain,90,1,1464316.0,0,0.0,1464316.0,31-08-2026,31-08-2026
GANDHAR,Ramesh Babulal Parekh,7,0,0.0,0,0.0,0.0,07-09-2026,08-09-2026
GANDHAR,Ramesh Babulal Parekh,15,1,8198905.0,0,0.0,8198905.0,07-09-2026,08-09-2026
GANDHAR,Ramesh Babulal Parekh,30,2,13278006.0,0,0.0,13278006.0,07-09-2026,08-09-2026
GANDHAR,Ramesh Babulal Parekh,60,2,13278006.0,0,0.0,13278006.0,07-09-2026,08-09-2026
GANDHAR,Ramesh Babulal Parekh,90,2,13278006.0,0,0.0,13278006.0,07-09-2026,08-09-2026
GANESHCP,MANISH MIMANI,7,0,0.0,0,0.0,0.0,19-06-2026,19-06-2026
GANESHCP,MANISH MIMANI,15,0,0.0,0,0.0,0.0,19-06-2026,19-06-2026
GANESHCP,MANISH MIMANI,30,0,0.0,0,0.0,0.0,19-06-2026,19-06-2026
GANESHCP,MANISH MIMANI,60,0,0.0,0,0.0,0.0,19-06-2026,19-06-2026
GANESHCP,MANISH MIMANI,90,0,0.0,0,0.0,0.0,19-06-2026,19-06-2026
GANESHCP,Manish Mimani,7,0,0.0,0,0.0,0.0,23-06-2026,02-09-2026
GANESHCP,Manish Mimani,15,0,0.0,0,0.0,0.0,23-06-2026,02-09-2026
GANESHCP,Manish Mimani,30,2,8001009.0,0,0.0,8001009.0,23-06-2026,02-09-2026
GANESHCP,Manish Mimani,60,2,8001009.0,0,0.0,8001009.0,23-06-2026,02-09-2026
GANESHCP,Manish Mimani,90,3,13998476.0,0,0.0,13998476.0,23-06-2026,02-09-2026
GOKUL,Bhikhiben Balvantsinh Rajput,7,0,0.0,0,0.0,0.0,20-08-2026,02-09-2026
GOKUL,Bhikhiben Balvantsinh Rajput,15,0,0.0,0,0.0,0.0,20-08-2026,02-09-2026
GOKUL,Bhikhiben Balvantsinh Rajput,30,16,18370361.0,0,0.0,18370361.0,20-08-2026,02-09-2026
GOKUL,Bhikhiben Balvantsinh Rajput,60,20,22247438.0,0,0.0,22247438.0,20-08-2026,02-09-2026
GOKUL,Bhikhiben Balvantsinh Rajput,90,20,22247438.0,0,0.0,22247438.0,20-08-2026,02-09-2026
GRMOVER,Mamta Garg,7,0,0.0,0,0.0,0.0,24-06-2026,24-06-2026
GRMOVER,Mamta Garg,15,0,0.0,0,0.0,0.0,24-06-2026,24-06-2026
GRMOVER,Mamta Garg,30,0,0.0,0,0.0,0.0,24-06-2026,24-06-2026
GRMOVER,Mamta Garg,60,0,0.0,0,0.0,0.0,24-06-2026,24-06-2026
GRMOVER,Mamta Garg,90,0,0.0,0,0.0,0.0,24-06-2026,24-06-2026
HEXAGON,DR. NIKHIL KELKAR,7,2,972992.0,0,0.0,972992.0,17-08-2026,18-09-2026
HEXAGON,DR. NIKHIL KELKAR,15,2,972992.0,0,0.0,972992.0,17-08-2026,18-09-2026
HEXAGON,DR. NIKHIL KELKAR,30,2,972992.0,0,0.0,972992.0,17-08-2026,18-09-2026
HEXAGON,DR. NIKHIL KELKAR,60,4,3073254.0,0,0.0,3073254.0,17-08-2026,18-09-2026
HEXAGON,DR. NIKHIL KELKAR,90,4,3073254.0,0,0.0,3073254.0,17-08-2026,18-09-2026
HEXAGON,MR. VIKRAM KELKAR,7,1,651548.0,0,0.0,651548.0,17-08-2026,17-09-2026
HEXAGON,MR. VIKRAM KELKAR,15,1,651548.0,0,0.0,651548.0,17-08-2026,17-09-2026
HEXAGON,MR. VIKRAM KELKAR,30,1,651548.0,0,0.0,651548.0,17-08-2026,17-09-2026
HEXAGON,MR. VIKRAM KELKAR,60,3,2739664.0,0,0.0,2739664.0,17-08-2026,17-09-2026
HEXAGON,MR. VIKRAM KELKAR,90,3,2739664.0,0,0.0,2739664.0,17-08-2026,17-09-2026
HEXAGON,MS. ANURADHA KELKAR,7,2,651747.0,0,0.0,651747.0,17-08-2026,17-09-2026
HEXAGON,MS. ANURADHA KELKAR,15,2,651747.0,0,0.0,651747.0,17-08-2026,17-09-2026
HEXAGON,MS. ANURADHA KELKAR,30,2,651747.0,0,0.0,651747.0,17-08-2026,17-09-2026
HEXAGON,MS. ANURADHA KELKAR,60,4,2573203.0,0,0.0,2573203.0,17-08-2026,17-09-2026
HEXAGON,MS. ANURADHA KELKAR,90,4,2573203.0,0,0.0,2573203.0,17-08-2026,17-09-2026
HEXAGON,Ms Preeti Vikram Kelkar,7,1,324834.0,0,0.0,324834.0,17-09-2026,17-09-2026
HEXAGON,Ms Preeti Vikram Kelkar,15,1,324834.0,0,0.0,324834.0,17-09-2026,17-09-2026
HEXAGON,Ms Preeti Vikram Kelkar,30,1,324834.0,0,0.0,324834.0,17-09-2026,17-09-2026
HEXAGON,Ms Preeti Vikram Kelkar,60,1,324834.0,0,0.0,324834.0,17-09-2026,17-09-2026
HEXAGON,Ms Preeti Vikram Kelkar,90,1,324834.0,0,0.0,324834.0,17-09-2026,17-09-2026
INDORAMA,URMILA LOHIA,7,0,0.0,0,0.0,0.0,08-09-2026,09-09-2026
INDORAMA,URMILA LOHIA,15,2,31393588.0,0,0.0,31393588.0,08-09-2026,09-09-2026
INDORAMA,URMILA LOHIA,30,2,31393588.0,0,0.0,31393588.0,08-09-2026,09-09-2026
