Symbol,Company Name,Name of Person,Category of Person,Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Securities Held Post (%),Date From,Date To,Details URL
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,Bhikhiben Balvantsinh Rajput,Promoter,1758,"71,813.00",22.95%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_180825903_WEB.html
OBCL,OBCL LIMITED (FORMERLY KNOWN AS ORISSA BENGAL CARRIER LIMITED),RAVI AGRAWAL,Promoter and Director,41310,"2,292,535.00",47.16%,08-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_174112797_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,4356,"2,208,407.00",2.90%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_150205900_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,413,"209,381.00",2.90%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_150205900_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,562,"292,565.00",2.91%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_150205900_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,15000,"2,804,507.00",47.76%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_105041212_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kalidindi Ravi,Promoter and Director,7064,"1,278,584.00",6.91%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260609_165004685_WEB.html
VISAKAIND,Visaka Industries Limited,VIGILANCE SECURITY SERVICES PRIVATE LIMITED,Promoter Group,1883,"135,847.00",4.84%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260609_130524777_WEB.html
VISAKAIND,Visaka Industries Limited,VIGILANCE SECURITY SERVICES PRIVATE LIMITED,Promoter Group,36217,"2,612,837.00",4.89%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260609_130524777_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kalidindi Ravi,Promoter and Director,261,"46,589.00",6.85%,05-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_213258679_WEB.html
SINCLAIR,SINCLAIRS HOTELS LIMITED,NAVIN CHAND SUCHANTI,Promoter,102253,"7,607,523.00",6.85%,04-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_162149284_WEB.html
AEROENTER,AEROFLEX ENTERPRISES LIMITED,A Flex Invest Private Limited,Promoter Group,233500,"23,753,120.00",6.84%,04-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260605_204514271_WEB.html
SAHLIBHFI,Shalibhadra Finance Limited,Ayushi Minesh Doshi,Promoter Group,100000,"8,294,696.00",2.77%,05-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260605_175953629_WEB.html
SAHLIBHFI,Shalibhadra Finance Limited,Ayushi Minesh Doshi,Promoter Group,100000,"8,294,696.00",2.77%,05-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260605_174340499_WEB.html
NIITLTD,NIIT Limited,Pawar Family Trust,Promoter Group,860000,"79,060,200.00",19.17%,03-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260605_155928784_WEB.html
NIITLTD,NIIT Limited,Thadani Family Trust,Promoter Group,860000,"79,048,981.00",19.57%,03-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260605_155928784_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kalidindi Ravi,Promoter and Director,3000,"540,000.00",6.85%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260605_123722114_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,25000,"4,643,445.00",47.67%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260605_104818873_WEB.html
LANDMARK,Landmark Cars Limited,Aryaman Sanjay Thakker,Promoter Group,5000,"2,061,648.00",0.10%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_183730539_WEB.html
