Symbol,Company Name,Name of Person,Category of Person,Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Securities Held Post (%),Date From,Date To,Details URL
FIBERWEB,Fiberweb (India) Limited,GAYATRI PIPES AND FITTINGS PRIVATE LIMITED,Promoter Group,13002,"383,506.00",12.37%,21-05-2026,21-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_125628_WEB.html
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,Sanjay Namdeo Salunkhe,Promoter,57399,"32,917,406.00",54.42%,22-05-2026,22-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260523_151831_WEB.html
EUROPRATIK,Euro Pratik Sales Limited,Jai Gunwantraj Singhvi,Promoter,166600,"44,903,448.00",22.85%,19-05-2026,21-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260521_222534_WEB.html
EUROPRATIK,Euro Pratik Sales Limited,Pratik Gunvantraj Singhvi,Promoter and Director,1005423,"268,683,992.00",5.03%,19-05-2026,21-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260521_222534_WEB.html
EUROPRATIK,Euro Pratik Sales Limited,Jai Gunvantraj Singhvi,Promoter and Director,1109157,"297,020,886.00",5.08%,19-05-2026,21-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260521_222534_WEB.html
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,Sanjay Namdeo Salunkhe,Promoter,6755,"3,501,783.00",53.80%,20-05-2026,20-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260521_181348_WEB.html
PNGSREVA,PNGS Reva Diamond Jewellery Limited,Govind Vishwanath Gadgil,Promoter,160000,"58,524,800.00",23.33%,18-05-2026,18-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260518_201422_WEB.html
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,Sanjay Namdeo Salunkhe,Promoter,146745,"75,553,620.00",52.83%,14-05-2026,14-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260516_152950_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kalidindi Ravi,Promoter and Director,1698,"294,552.00",7.20%,13-08-2026,13-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260814_103410499_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kalidindi Ravi,Promoter and Director,79419,"13,900,341.00",7.19%,10-08-2026,11-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260812_174931963_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kakatiya Industries Pvt.Ltd,Promoter Group,7261,"1,268,058.00",1.40%,10-08-2026,11-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260812_174931963_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,VIKRAM CHEMICALS PRIVATE LIMITED,Promoter Group,3800,"662,208.00",0.04%,10-08-2026,11-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260812_174931963_WEB.html
OBCL,OBCL LIMITED,OBCL INFRASTRUCTURE PRIVATE LIMITED,Promoter Group,7101,"379,842.00",9.84%,06-08-2026,10-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20443_20260811_155652381_WEB.html
THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED,THANGAMAYIL GOLD AND DIAMOND PRIVATE LIMITED,Promoter Group,4250,"22,398,800.00",5.49%,07-08-2026,07-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3067_20260811_124929643_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,300000,"3,386,121.00",33.24%,10-08-2026,10-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260811_103948643_WEB.html
TRUALT,TRUALT BIOENERGY LIMITED,NIRANI HOLDINGS PRIVATE LIMITED,Promoter Group,57801,"27,638,126.00",1.63%,10-08-2026,10-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24291_20260810_190720578_WEB.html
CHEMBONDCH,CHEMBOND CHEMICALS LIMITED,NIRMAL V SHAH,Promoter and Director,10000,"2,300,000.00",26.05%,06-08-2026,06-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26029_20260809_145046436_WEB.html
CHEMBONDCH,CHEMBOND CHEMICALS LIMITED,MAMTA N SHAH,Promoter Group,20500,"4,715,000.00",0.77%,06-08-2026,06-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26029_20260809_145046436_WEB.html
TRUALT,TRUALT BIOENERGY LIMITED,NIRANI HOLDINGS PRIVATE LIMITED,Promoter Group,21600,"10,000,363.00",1.45%,05-08-2026,05-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24291_20260807_153232932_WEB.html
BMWVENTLTD,BMW VENTURES LIMITED,SHIVANSH KISHOREPURIA,Promoter Group,85000,"5,107,928.00",0.10%,05-08-2026,05-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24065_20260806_155840243_WEB.html
SESHAPAPER,SESHASAYEE PAPER AND BOARDS LIMITED,DHANASHREE INVESTMENTS PRIVATE LIMITED,Promoter Group,20695,"4,850,664.00",4.98%,30-07-2026,30-07-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_118_20260730_173712302_WEB.html
DBOL,Dhampur Bio Organics Limited,Sonitron Limited,Promoter Group,3719,"379,338.00",17.28%,24-07-2026,24-07-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20812_20260728_183358502_WEB.html
DBOL,Dhampur Bio Organics Limited,Sonitron Limited,Promoter Group,5549,"565,998.00",17.29%,27-07-2026,27-07-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20812_20260728_183358502_WEB.html
GANESHCP,GANESH CONSUMER PRODUCTS LIMITED,Manish Mimani,Promoter and Director,31100,"5,997,467.00",6.66%,30-06-2026,30-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25074_20260703_115102118_WEB.html
WCIL,WESTERN CARRIERS (INDIA) LIMITED,RAJENDRA SETHIA,Promoter and Director,1106,"110,379.00",72.82%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22116_20260630_202708536_WEB.html
WCIL,WESTERN CARRIERS (INDIA) LIMITED,RAJENDRA SETHIA,Promoter and Director,5000,"503,500.00",72.83%,30-06-2026,30-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22116_20260630_202708536_WEB.html
SESHAPAPER,SESHASAYEE PAPER AND BOARDS LIMITED,TIME SQUARE INVESTMENTS PRIVATE LIMITED,Promoter Group,3767,"848,764.00",10.22%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_118_20260629_184332278_WEB.html
MANINFRA,MAN INFRACONSTRUCTION LIMITED,Parag K. Shah,Promoter and Director,250000,"26,297,500.00",29.72%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3094_20260629_091847271_WEB.html
LYKALABS,Lyka Labs Limited,Kunal Gandhi,Promoter,6533,"460,482.00",9.81%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260626_173630829_WEB.html
LYKALABS,Lyka Labs Limited,Nehal Gandhi,Promoter,33122,"2,341,493.00",3.35%,24-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260626_173630829_WEB.html
LYKALABS,Lyka Labs Limited,Alisha Gandhi,Promoter Group,5000,"339,569.00",0.14%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260626_173630829_WEB.html
LYKALABS,Lyka Labs Limited,Enai Trading and Investment Pvt.,Promoter Group,11312,"805,323.00",2.83%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260626_173630829_WEB.html
NRL,NUPUR RECYCLERS LIMITED,NUPUR GUPTA,Promoter Group,50400,"4,186,225.00",0.52%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20108_20260626_155701561_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kalidindi Ravi,Promoter and Director,1000,"193,000.00",7.00%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260626_152553487_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kakatiya Industries Pvt.Ltd,Promoter Group,3000,"579,510.00",1.38%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260626_152553487_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,VIKRAM CHEMICALS PRIVATE LIMITED,Promoter Group,3700,"714,618.00",0.01%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260626_152553487_WEB.html
SESHAPAPER,SESHASAYEE PAPER AND BOARDS LIMITED,ULTRA INVESTMENTS AND LEASING COMPANY PRIVATE LIMITED,Promoter Group,20000,"4,496,498.00",1.50%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_118_20260626_143107377_WEB.html
GANESHCP,GANESH CONSUMER PRODUCTS LIMITED,Manish Mimani,Promoter and Director,50000,"10,000,475.00",6.58%,23-06-2026,23-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25074_20260626_120611461_WEB.html
STEL,STEL HOLDINGS LIMITED,SOFREAL MERCANTRADE PRIVATE LTD,Promoter Group,6061,"3,702,340.00",1.26%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_4020_20260626_103402978_WEB.html
PNGSREVA,PNGS REVA DIAMOND JEWELLERY LIMITED,P. N. Gadgil & Sons Limited,Promoter,238,"91,630.00",13.92%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26347_20260625_174458869_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,5916,"177,480.00",7.78%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_279_20260625_172157616_WEB.html
PARADEEP,PARADEEP PHOSPHATES LIMITED,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,80273,"10,671,493.00",50.37%,18-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19922_20260623_162430288_WEB.html
PARADEEP,PARADEEP PHOSPHATES LIMITED,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,65000,"8,871,850.00",50.37%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19922_20260623_162430288_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,30000,"6,235,185.00",47.91%,22-06-2026,22-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12987_20260623_104742804_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Shree Vinay Finvest P Ltd.,Promoter Group,730000,"31,466,285.00",4.03%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260622_173123687_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Ginny Traders Pvt Ltd,Promoter Group,530000,"22,755,497.00",2.16%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260622_173123687_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Ginny Traders Pvt Ltd,Promoter Group,1250000,"52,696,485.00",2.38%,17-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260622_173123687_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Sampat Marketing Company Pvt Ltd,Promoter Group,890000,"38,831,857.00",2.46%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260622_173123687_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Sampat Marketing Company Pvt Ltd,Promoter Group,1100000,"46,406,030.00",2.65%,17-06-2026,17-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260622_173123687_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Ilex Private Limited,Promoter Group,1000000,"42,397,025.00",3.21%,17-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260622_173123687_WEB.html
MSPL,MSP STEEL & POWER LIMITED,M A Hire Purchase Private Limited,Promoter Group,950000,"40,069,290.00",3.20%,18-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260622_173123687_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,7574,"227,205.00",7.71%,22-06-2026,22-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_279_20260622_164814441_WEB.html
GANESHCP,GANESH CONSUMER PRODUCTS LIMITED,MANISH MIMANI,Promoter and Director,50000,"9,969,935.00",6.46%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25074_20260622_154914774_WEB.html
FIBERWEB,Fiberweb (India) Limited,Pravin V Sheth,Promoter and Director,17695,"524,254.00",5.88%,17-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19088_20260622_142531509_WEB.html
FIBERWEB,Fiberweb (India) Limited,GAYATRI PIPES AND FITTINGS PRIVATE LIMITED,Promoter Group,7000,"207,781.00",12.46%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19088_20260622_142531509_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,1000,"700,662.00",18.31%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_132858206_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,1000,"710,907.00",18.31%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_132858206_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,500,"359,598.00",18.31%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_132858206_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,200,"144,000.00",18.31%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_132858206_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,1000,"720,000.00",18.32%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_132858206_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,300,"216,000.00",18.32%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_132858206_WEB.html
STEL,STEL HOLDINGS LIMITED,SOFREAL MERCANTRADE PRIVATE LTD,Promoter Group,1921,"1,113,057.00",1.12%,17-06-2026,17-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_4020_20260619_230912585_WEB.html
STEL,STEL HOLDINGS LIMITED,SOFREAL MERCANTRADE PRIVATE LTD,Promoter Group,13544,"8,115,025.00",1.19%,18-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_4020_20260619_230912585_WEB.html
APLLTD,Alembic Pharmaceuticals Limited,Nirayu Private Limited,Promoter Group,3278,"2,437,173.00",35.78%,18-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_5232_20260619_190952608_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,14959,"448,770.00",7.69%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_279_20260619_155552507_WEB.html
MSPL,MSP STEEL & POWER LIMITED,M A Hire Purchase Private Limited,Promoter Group,2400000,"100,796,400.00",3.03%,12-06-2026,15-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260618_171756029_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Shree Vinay Finvest P Ltd.,Promoter Group,400000,"16,587,600.00",3.91%,12-06-2026,12-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260618_171756029_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Sampat Marketing Company Pvt Ltd,Promoter Group,1025000,"42,828,848.00",2.30%,12-06-2026,15-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260618_171756029_WEB.html
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Asha Biyani,Promoter Group,20000,"10,900,691.00",0.03%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25015_20260618_151113771_WEB.html
STEL,STEL HOLDINGS LIMITED,SOFREAL MERCANTRADE PRIVATE LTD,Promoter Group,3619,"2,091,964.00",1.11%,15-06-2026,15-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_4020_20260618_111516908_WEB.html
WCIL,WESTERN CARRIERS (INDIA) LIMITED,RAJENDRA SETHIA,Promoter and Director,20000,"1,993,600.00",72.80%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22116_20260617_182612844_WEB.html
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,Bhikhiben Balvantsinh Rajput,Promoter,1000,"40,972.00",22.99%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2754_20260617_173135777_WEB.html
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,Bhikhiben Balvantsinh Rajput,Promoter,1000,"40,972.00",22.99%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2754_20260617_173135777_WEB.html
VISAKAIND,Visaka Industries Limited,VIGILANCE SECURITY SERVICES PRIVATE LIMITED,Promoter Group,450,"34,403.00",4.98%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1388_20260617_125026635_WEB.html
MBEL,M & B Engineering Limited,Birva Chirag Patel,Promoter and Director,10000,"3,065,597.00",7.03%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24557_20260617_085547709_WEB.html
MBEL,M & B Engineering Limited,Umaben Girishbhai Patel,Promoter and Director,10000,"3,095,979.00",2.83%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24557_20260617_085547709_WEB.html
TIGERLOGS,Tiger Logistics (India) Limited,Brahma Suppliers Private Limited,Promoter Group,20000,"705,928.00",33.17%,15-06-2026,15-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26474_20260616_181040558_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,22826,"659,216.00",7.53%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_279_20260616_170436158_WEB.html
FIBERWEB,Fiberweb (India) Limited,GAYATRI PIPES AND FITTINGS PRIVATE LIMITED,Promoter Group,20000,"582,128.00",12.44%,15-06-2026,15-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19088_20260616_151142967_WEB.html
INDIQUBE,Indiqube Spaces Limited,MEGHNA AGARWAL,Promoter and Director,5500,"878,953.00",15.89%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25080_20260615_214647161_WEB.html
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,Bhikhiben Balvantsinh Rajput,Promoter,2673,"113,749.00",22.97%,12-06-2026,12-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2754_20260615_182837464_WEB.html
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,Bhikhiben Balvantsinh Rajput,Promoter,16327,"685,166.00",22.98%,12-06-2026,12-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2754_20260615_182837464_WEB.html
MSPL,MSP STEEL & POWER LIMITED,M A Hire Purchase Private Limited,Promoter Group,765000,"31,359,569.00",2.42%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260615_164920793_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Shree Vinay Finvest P Ltd.,Promoter Group,2050000,"83,172,570.00",3.84%,10-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260615_164920793_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Ilex Private Limited,Promoter Group,1340000,"54,480,782.00",2.92%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260615_164920793_WEB.html
MSPL,MSP STEEL & POWER LIMITED,M A Hire Purchase Private Limited,Promoter Group,1050000,"42,950,775.00",2.61%,10-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260615_164920793_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Ginny Traders Pvt Ltd,Promoter Group,900000,"36,573,750.00",2.06%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260615_164920793_WEB.html
SBCL,SHIVALIK BIMETAL CONTROLS LIMITED,Sumer Ghumman,Promoter and Director,2200,"1,483,929.00",3.78%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260613_143256854_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,350,"189,105.00",2.93%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_173801264_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,8011,"4,328,405.00",2.98%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_173801264_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kalidindi Ravi,Promoter and Director,7000,"1,261,470.00",6.99%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_161752503_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,VIKRAM CHEMICALS PRIVATE LIMITED,Promoter Group,1000,"180,000.00",0.00%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_161752503_WEB.html
SINCLAIR,SINCLAIRS HOTELS LIMITED,NAVIN CHAND SUCHANTI,Promoter,21896,"1,681,380.00",6.95%,10-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_131309081_WEB.html
EVEREADY,EVEREADY INDUSTRIES INDIA LIMITED,GYAN ENTERPRISES PRIVATE LIMITED,Promoter,52202,"17,369,986.00",2.02%,10-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_112125532_WEB.html
EVEREADY,EVEREADY INDUSTRIES INDIA LIMITED,GYAN ENTERPRISES PRIVATE LIMITED,Promoter,59000,"19,704,802.00",2.10%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_112125532_WEB.html
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,FAIRBRIDGE CAPITAL MAURITIUS LIMITED,Promoter,1360664,"141,178,551.00",64.12%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_103456089_WEB.html
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,FAIRBRIDGE CAPITAL MAURITIUS LIMITED,Promoter,1383156,"150,683,919.00",64.42%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_103456089_WEB.html
AEROENTER,AEROFLEX ENTERPRISES LIMITED,A Flex Invest Private Limited,Promoter Group,150000,"15,862,500.00",7.13%,10-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_191659172_WEB.html
TIGERLOGS,Tiger Logistics (India) Limited,Brahma Suppliers Private Limited,Promoter Group,20000,"722,531.00",33.15%,10-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_181426523_WEB.html
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,Bhikhiben Balvantsinh Rajput,Promoter,1000,"41,123.00",22.95%,10-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_165805270_WEB.html
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,Bhikhiben Balvantsinh Rajput,Promoter,3000,"123,020.00",22.96%,10-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_165805270_WEB.html
RGL,Renaissance Global Limited,Sumit Shah,Promoter and Director,256091,"26,056,348.00",1.24%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_160456555_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Sampat Marketing Company Pvt Ltd,Promoter Group,700000,"28,963,830.00",2.12%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_135107007_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Shree Vinay Finvest P Ltd.,Promoter Group,2850000,"117,572,474.00",3.47%,04-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_135107007_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Ilex Private Limited,Promoter Group,1660000,"68,971,086.00",2.68%,05-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_135107007_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,20000,"3,674,965.00",47.78%,10-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_104847654_WEB.html
VSTL,VIBHOR STEEL TUBES LIMITED,VIJAY KUMAR KAUSHIK,Promoter and Director,4000,"472,704.00",21.93%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_165111932_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,16820,"506,626.00",7.37%,10-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_154820896_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,109612,"3,274,270.00",7.32%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260609_160255219_WEB.html
STANLEY,STANLEY LIFESTYLES LIMITED,Sunil Suresh,Promoter and Director,101000,"14,688,935.00",28.47%,03-06-2026,03-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_182449791_WEB.html
VISAKAIND,Visaka Industries Limited,VIGILANCE SECURITY SERVICES PRIVATE LIMITED,Promoter Group,7842,"562,086.00",4.83%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_172148598_WEB.html
VISAKAIND,Visaka Industries Limited,VIGILANCE SECURITY SERVICES PRIVATE LIMITED,Promoter Group,7000,"508,985.00",4.84%,05-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_172148598_WEB.html
